#WEBOTS_MOTION,V1.0,neck_yaw,neck_pitch,left_shoulder_pitch [shoulder],left_shoulder_roll,left_elbow,right_shoulder_pitch [shoulder],right_shoulder_roll,right_elbow,left_hip_yaw [hip],left_hip_roll,left_hip_pitch,left_knee,left_ankle_roll,left_ankle_pitch,right_hip_yaw [hip],right_hip_roll,right_hip_pitch,right_knee,right_ankle_pitch,right_ankle_roll
12:00:00 AM,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,-0.0349066,0.715585,-0.872665,0,0.436332,0,0.0349066,0.715585,-0.872665,0.436332,0
12:01:00 AM,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,-0.0349066,0.715585,-0.872665,0,0.436332,0,0.0349066,0.715585,-0.872665,0.436332,0
12:02:00 AM,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.020946656597406,-0.033352,-0.067389,0.034036,0.864926
12:02:25 AM,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.020957528609611,-0.044672,-0.090879,0.046206,0.864961
12:02:50 AM,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.020966935292973,-0.05184,-0.107092,0.055251,0.864991
00:02:075,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.020975182806837,-0.056638,-0.119447,0.062808,0.865018
00:02:100,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.020982609559118,-0.059903,-0.129465,0.069562,0.865041
00:02:125,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.020989586013426,-0.062176,-0.138082,0.075905,0.865064
00:02:150,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.020996514580213,-0.063874,-0.145988,0.082113,0.865086
00:02:175,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021003829630793,-0.065353,-0.153759,0.088405,0.865109
00:02:200,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021011997675986,-0.066926,-0.161899,0.094972,0.865136
00:02:225,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021021517757783,-0.068876,-0.170858,0.101981,0.865166
00:02:250,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021032922101144,-0.07145,-0.181026,0.109575,0.865203
00:02:275,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021046777082095,-0.07486,-0.192729,0.117868,0.865247
00:02:300,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021063684572643,-0.079277,-0.206221,0.126944,0.865301
00:02:325,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021084283726057,-0.084829,-0.221684,0.136854,0.865367
00:02:350,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.02110925328012,-0.091608,-0.23923,0.147621,0.865447
00:02:375,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021139314458752,-0.099673,-0.258915,0.159242,0.865544
00:02:400,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021175234572232,-0.109052,-0.280751,0.171698,0.865659
00:02:425,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021217831422871,-0.119759,-0.304715,0.184956,0.865795
00:02:450,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021267978650537,-0.131787,-0.330768,0.19898,0.865955
00:02:475,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021326612169607,-0.145122,-0.358854,0.213731,0.866143
00:02:495,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021394737883218,-0.133619,-0.380124,0.246504,0.86636
00:02:510,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021304320830369,0.133619,0.380124,0.246504,0.86636
00:02:520,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021233400977523,0.127262,0.34425,0.216987,0.866071
00:02:530,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021180520131217,0.129273,0.314648,0.185375,0.865845
00:02:540,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021144339405867,0.137504,0.289267,0.151763,0.865676
00:02:550,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021123618165379,0.149499,0.265426,0.115926,0.86556
00:02:560,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021117195689719,0.162763,0.240359,0.077595,0.865494
00:02:570,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.02112397508407,0.174969,0.21165,0.03668,0.865473
00:02:580,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021142909049895,0.184082,0.17746,0.006621,0.865495
00:02:590,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.021172987215302,0.188407,0.136616,0.05179,0.865555
00:02:600,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,0.174533,0.191986,-0.174533,0.261799,0.174533,0,0.020946656597406,0.995421,-0.015437,0.097954,0.865712
00:02:760,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,-0.0349066,0.715585,-0.872665,0,0.436332,0,0.0349066,0.715585,-0.872665,0.436332,0
00:02:800,Rest,0,-0.0872665,0.0872665,0.001523,0.785398,0.0872665,0.00152308,0.785398,0,-0.0349066,0.715585,-0.872665,0,0.436332,0,0.0349066,0.715585,-0.872665,0.436332,0
